,Unnamed: 0,video,audio,label,center,pred,posScore
0,0,speaker036_0043,speaker036_0043,1,135,1,0.9618902
1,1,speaker035_0031,speaker035_0031,1,11,1,0.9953093
2,2,speaker213_0000,speaker213_0001,0,26,0,8.382576e-05
3,3,speaker304_0009,speaker304_0009,1,193,1,0.9990805
4,4,speaker173_0005,speaker043_0010,0,114,0,8.332051e-05
5,5,speaker307_0001,speaker307_0001,1,1,1,0.9795855
6,6,speaker202_0015,speaker202_0015,1,86,1,0.71977454
7,7,speaker091_0001,speaker091_0001,1,40,0,0.444926
8,8,speaker083_0000,speaker083_0000,1,176,1,0.9976115
9,9,speaker107_0000,speaker107_0000,0,99,0,0.00014873092
10,10,speaker079_0000,speaker079_0000,0,43,0,9.84287e-05
11,11,speaker078_0001,speaker078_0001,0,58,0,0.00017929978
12,12,speaker153_0000,speaker153_0000,0,49,0,0.00020257544
13,13,speaker221_0003,speaker221_0003,1,21,0,0.0026299863
14,14,speaker288_0007,speaker288_0007,1,1,1,0.99816716
15,15,speaker154_0007,speaker154_0007,1,11,1,0.99939346
16,16,speaker137_0003,speaker137_0003,1,69,0,0.04727609
17,17,speaker214_0002,speaker121_0006,0,19,0,0.00057327544
18,18,speaker008_0020,speaker008_0020,1,48,1,0.96623677
19,19,speaker245_0001,speaker245_0000,0,59,0,0.00028025272
20,20,speaker279_0002,speaker327_0002,0,22,0,0.00010589558
21,21,speaker099_0003,speaker099_0019,0,134,0,0.00011042311
22,22,speaker120_0001,speaker120_0001,1,3,1,0.9957235
23,23,speaker021_0000,speaker279_0000,0,53,0,0.004143168
24,24,speaker202_0000,speaker202_0000,1,30,1,0.49562225
25,25,speaker160_0000,speaker160_0000,0,9,0,0.00018267789
26,26,speaker243_0006,speaker243_0006,1,32,0,0.38028106
27,27,speaker320_0005,speaker320_0005,1,77,0,0.0002854647
28,28,speaker151_0001,speaker151_0001,1,32,1,0.7214473
29,29,speaker133_0001,speaker091_0009,0,34,0,0.026910113
30,30,speaker179_0003,speaker179_0000,0,45,0,0.0014280421
31,31,speaker334_0003,speaker334_0003,1,5,1,0.9987274
32,32,speaker233_0001,speaker326_0025,0,44,0,0.004015508
33,33,speaker160_0000,speaker160_0001,0,50,0,0.00069010287
34,34,speaker304_0006,speaker304_0006,0,24,0,7.909337e-05
35,35,speaker131_0000,speaker209_0003,0,3,0,0.00066459394
36,36,speaker054_0006,speaker054_0013,0,13,0,8.253479e-05
37,37,speaker275_0005,speaker275_0005,0,51,0,0.00011492462
38,38,speaker203_0011,speaker248_0010,0,94,0,9.330129e-05
39,39,speaker179_0009,speaker179_0009,1,1,1,0.94913465
40,40,speaker216_0002,speaker216_0002,1,14,0,0.38278586
41,41,speaker301_0000,speaker301_0004,0,76,0,0.00010424807
42,42,speaker255_0002,speaker322_0000,0,56,0,0.0001328905
43,43,speaker115_0001,speaker115_0001,1,2,1,0.98677796
44,44,speaker034_0013,speaker034_0005,0,100,0,0.00015462635
45,45,speaker105_0000,speaker105_0000,1,44,1,0.99933743
46,46,speaker124_0000,speaker124_0000,1,26,0,0.4667549
47,47,speaker037_0032,speaker037_0032,1,135,0,0.018389232
48,48,speaker324_0011,speaker324_0011,0,223,0,0.00026879634
49,49,speaker320_0002,speaker320_0000,0,141,0,7.832428e-05
50,50,speaker203_0002,speaker203_0002,1,1,1,0.99579376
51,51,speaker177_0000,speaker322_0002,0,42,0,0.00011264713
52,52,speaker157_0005,speaker157_0004,0,26,0,0.00013151298
53,53,speaker308_0000,speaker044_0002,0,35,0,0.000120188124
54,54,speaker186_0009,speaker186_0009,0,28,0,0.0001611565
55,55,speaker271_0000,speaker271_0005,0,55,0,8.8437344e-05
56,56,speaker105_0000,speaker105_0000,1,48,1,0.9985362
57,57,speaker173_0011,speaker173_0011,1,140,1,0.9990407
58,58,speaker107_0003,speaker053_0002,0,17,0,9.8939956e-05
59,59,speaker288_0007,speaker288_0003,0,40,0,0.0666491
60,60,speaker137_0002,speaker137_0002,0,53,0,0.011251315
61,61,speaker186_0002,speaker186_0002,1,36,1,0.9964839
62,62,speaker203_0011,speaker203_0011,1,26,0,0.011742194
63,63,speaker015_0002,speaker015_0031,0,212,0,0.00017141756
64,64,speaker087_0001,speaker087_0001,0,64,0,0.00014094495
65,65,speaker241_0000,speaker312_0007,0,5,0,0.000102735445
66,66,speaker320_0003,speaker320_0003,1,10,1,0.9472423
67,67,speaker160_0000,speaker160_0000,1,54,1,0.99788463
68,68,speaker281_0021,speaker281_0021,1,78,0,0.2552821
69,69,speaker091_0020,speaker091_0020,1,123,0,0.1236058
70,70,speaker202_0020,speaker202_0020,0,4,0,0.0015387334
71,71,speaker240_0001,speaker240_0001,0,110,0,0.00010284637
72,72,speaker215_0004,speaker277_0004,0,146,0,8.930387e-05
73,73,speaker183_0001,speaker183_0001,0,29,0,9.4151466e-05
74,74,speaker301_0003,speaker301_0004,0,38,0,0.00033405627
75,75,speaker200_0001,speaker200_0001,0,97,0,0.000111016314
76,76,speaker030_0006,speaker030_0006,1,61,1,0.9259562
77,77,speaker226_0008,speaker176_0000,0,131,0,0.00013018264
78,78,speaker067_0000,speaker067_0000,1,95,0,0.00018298406
79,79,speaker170_0001,speaker170_0002,0,2,0,9.672139e-05
80,80,speaker171_0006,speaker171_0006,1,14,0,0.2639302
