epoch 2, 10 total epochs, LR 0.100000, TRAINLOSS 1.344156, TESTLOSS nan, testACC 50.08%, testmAP 0.00%, bestTestmAP 0.00%


epoch 2, 10 total epochs, LR 0.010000, TRAINLOSS 1.253556, TESTLOSS 1.249978, testACC 49.92%, testmAP 51.65%, bestTestmAP 51.65%
epoch 3, 10 total epochs, LR 0.010000, TRAINLOSS 1.250595, TESTLOSS 1.249592, testACC 49.92%, testmAP 50.36%, bestTestmAP 51.65%
epoch 4, 10 total epochs, LR 0.010000, TRAINLOSS 1.251152, TESTLOSS 1.249324, testACC 50.08%, testmAP 0.00%, bestTestmAP 51.65%
epoch 5, 10 total epochs, LR 0.010000, TRAINLOSS 1.250141, TESTLOSS 1.249241, testACC 49.92%, testmAP 50.36%, bestTestmAP 51.65%
epoch 6, 10 total epochs, LR 0.010000, TRAINLOSS 1.250076, TESTLOSS 1.251812, testACC 50.08%, testmAP 0.00%, bestTestmAP 51.65%
epoch 7, 10 total epochs, LR 0.010000, TRAINLOSS 1.249662, TESTLOSS 1.249128, testACC 50.08%, testmAP 0.00%, bestTestmAP 51.65%
epoch 8, 10 total epochs, LR 0.010000, TRAINLOSS 1.250031, TESTLOSS 1.249148, testACC 50.08%, testmAP 0.00%, bestTestmAP 51.65%
epoch 9, 10 total epochs, LR 0.010000, TRAINLOSS 1.249875, TESTLOSS 1.249331, testACC 49.92%, testmAP 50.36%, bestTestmAP 51.65%
epoch 10, 10 total epochs, LR 0.010000, TRAINLOSS 1.248994, TESTLOSS 1.252116, testACC 49.92%, testmAP 50.36%, bestTestmAP 51.65%

epoch 2, 10 total epochs, LR 0.001000, TRAINLOSS 0.874026, TESTLOSS 0.814936, testACC 76.29%, testmAP 81.51%, bestTestmAP 81.51%
epoch 3, 10 total epochs, LR 0.001000, TRAINLOSS 0.830700, TESTLOSS 1.175502, testACC 75.23%, testmAP 76.95%, bestTestmAP 81.51%
epoch 4, 10 total epochs, LR 0.001000, TRAINLOSS 0.823309, TESTLOSS 0.803019, testACC 76.51%, testmAP 81.52%, bestTestmAP 81.52%
epoch 5, 10 total epochs, LR 0.001000, TRAINLOSS 0.815076, TESTLOSS 0.773817, testACC 77.06%, testmAP 82.86%, bestTestmAP 82.86%
epoch 6, 10 total epochs, LR 0.001000, TRAINLOSS 0.813026, TESTLOSS 0.774585, testACC 77.13%, testmAP 83.34%, bestTestmAP 83.34%
epoch 7, 10 total epochs, LR 0.001000, TRAINLOSS 0.810048, TESTLOSS 0.772612, testACC 77.01%, testmAP 82.91%, bestTestmAP 83.34%
epoch 8, 10 total epochs, LR 0.001000, TRAINLOSS 0.807043, TESTLOSS 0.758371, testACC 78.29%, testmAP 83.91%, bestTestmAP 83.91%
epoch 9, 10 total epochs, LR 0.001000, TRAINLOSS 0.783011, TESTLOSS 0.750722, testACC 78.44%, testmAP 84.37%, bestTestmAP 84.37%
epoch 10, 10 total epochs, LR 0.001000, TRAINLOSS 0.779707, TESTLOSS 0.743638, testACC 78.42%, testmAP 84.73%, bestTestmAP 84.73%

