,Unnamed: 0,video,audio,label,center,pred,posScore
0,0,speaker073_0000,speaker073_0000,1,34,1,0.96552885
1,1,speaker205_0000,speaker205_0001,0,75,0,0.00013431934
2,2,speaker163_0000,speaker163_0000,1,118,1,0.9996494
3,3,speaker314_0011,speaker314_0011,1,18,1,0.99983317
4,4,speaker300_0001,speaker300_0001,0,19,0,0.00017993788
5,5,speaker205_0000,speaker205_0000,0,74,0,0.00013496695
6,6,speaker328_0004,speaker328_0004,0,102,0,0.00021960921
7,7,speaker103_0003,speaker103_0000,0,26,0,0.00021925678
8,8,speaker080_0000,speaker080_0000,0,3,0,0.0007234982
9,9,speaker185_0009,speaker185_0009,1,48,1,0.99981683
10,10,speaker155_0005,speaker285_0002,0,22,0,0.00016809811
11,11,speaker298_0002,speaker039_0001,0,69,0,0.00019178016
12,12,speaker292_0016,speaker292_0016,1,88,1,0.999673
13,13,speaker149_0000,speaker149_0000,1,7,1,0.9983761
14,14,speaker146_0000,speaker310_0010,0,30,0,0.00017232679
15,15,speaker321_0002,speaker321_0003,0,74,0,0.0014292017
16,16,speaker068_0012,speaker068_0012,0,52,0,0.0001377669
17,17,speaker155_0002,speaker155_0004,0,12,0,0.00017665025
18,18,speaker146_0000,speaker146_0002,0,21,0,0.00020033742
19,19,speaker048_0001,speaker048_0001,0,104,0,0.00014933026
20,20,speaker314_0012,speaker314_0012,0,30,0,0.00022626843
21,21,speaker270_0008,speaker270_0008,1,64,1,0.99257684
22,22,speaker247_0010,speaker247_0010,0,18,0,0.0002021412
23,23,speaker328_0001,speaker270_0004,0,23,0,0.0002637327
24,24,speaker274_0014,speaker274_0013,0,16,0,0.00023995797
25,25,speaker212_0027,speaker090_0000,0,208,0,0.00018127037
26,26,speaker166_0009,speaker166_0012,0,10,0,0.00012984354
27,27,speaker189_0001,speaker146_0001,0,29,0,0.00024233384
28,28,speaker094_0004,speaker094_0006,0,19,0,0.00015018668
29,29,speaker232_0003,speaker232_0003,1,37,1,0.99968594
30,30,speaker073_0000,speaker073_0000,1,170,1,0.98648757
31,31,speaker143_0002,speaker143_0002,1,90,1,0.99974453
32,32,speaker076_0003,speaker076_0003,1,18,1,0.9726663
33,33,speaker064_0001,speaker064_0001,1,39,1,0.99890524
34,34,speaker264_0002,speaker264_0000,0,6,0,0.00013871795
35,35,speaker321_0002,speaker321_0001,0,74,0,0.00018222362
36,36,speaker274_0015,speaker300_0001,0,90,0,0.0018194298
37,37,speaker205_0002,speaker205_0002,0,26,0,0.00041402868
38,38,speaker306_0002,speaker306_0002,1,89,0,0.16079181
39,39,speaker080_0000,speaker080_0000,1,3,1,0.99961954
40,40,speaker299_0003,speaker299_0003,1,75,0,0.0008402577
41,41,speaker095_0000,speaker095_0000,1,113,1,0.9997945
42,42,speaker256_0003,speaker256_0001,0,31,0,0.00013296955
43,43,speaker313_0009,speaker313_0009,1,21,1,0.9998528
44,44,speaker116_0000,speaker273_0001,0,12,0,0.00040967375
45,45,speaker127_0005,speaker127_0005,0,17,0,0.00016457468
46,46,speaker227_0001,speaker227_0000,0,6,0,0.00013725151
47,47,speaker092_0002,speaker092_0002,1,68,1,0.55676913
48,48,speaker228_0001,speaker139_0004,0,54,0,0.0012387278
49,49,speaker306_0002,speaker306_0002,1,152,1,0.9998005
50,50,speaker057_0023,speaker127_0000,0,68,0,0.00014713942
51,51,speaker095_0000,speaker095_0000,1,141,1,0.99458045
52,52,speaker287_0003,speaker246_0000,0,33,0,0.00013560157
53,53,speaker092_0000,speaker092_0000,1,57,1,0.99945384
54,54,speaker135_0001,speaker135_0001,0,1,0,0.0001459775
55,55,speaker283_0003,speaker283_0004,0,46,0,0.00015089053
56,56,speaker102_0001,speaker102_0000,0,55,0,0.0001751586
57,57,speaker118_0000,speaker204_0001,0,18,0,0.00017547184
58,58,speaker039_0002,speaker039_0000,0,82,0,0.0005169521
59,59,speaker163_0005,speaker163_0005,1,4,1,0.9997017
60,60,speaker262_0000,speaker069_0001,0,5,0,0.00014403232
61,61,speaker080_0000,speaker080_0000,1,26,1,0.99669665
62,62,speaker049_0009,speaker049_0009,0,3,0,0.00013574096
63,63,speaker111_0005,speaker111_0005,1,49,0,0.45083967
64,64,speaker112_0000,speaker112_0000,1,119,1,0.9998343
65,65,speaker112_0001,speaker112_0001,0,46,1,0.5421775
66,66,speaker204_0000,speaker204_0002,0,82,0,0.00014322485
67,67,speaker268_0002,speaker268_0002,0,27,0,0.00012629085
68,68,speaker080_0000,speaker080_0000,0,23,0,0.0001425073
69,69,speaker102_0000,speaker102_0000,1,17,1,0.99756616
70,70,speaker047_0018,speaker047_0018,1,35,1,0.9993188
71,71,speaker267_0000,speaker267_0001,0,37,0,0.00013450468
72,72,speaker302_0004,speaker302_0004,0,29,0,0.00014895595
73,73,speaker246_0000,speaker246_0000,1,32,0,0.0027321288
74,74,speaker201_0004,speaker201_0005,0,94,0,0.00014292244
75,75,speaker052_0026,speaker052_0026,0,43,0,0.00015773615
76,76,speaker184_0012,speaker184_0012,1,46,1,0.9241629
77,77,speaker163_0001,speaker163_0001,1,0,1,0.9996745
78,78,speaker152_0008,speaker152_0008,1,19,1,0.99903154
79,79,speaker230_0005,speaker278_0001,0,140,0,0.0001300526
80,80,speaker199_0003,speaker278_0001,0,2,0,0.0019489566
81,81,speaker102_0000,speaker102_0001,0,23,0,0.0003097813
82,82,speaker069_0002,speaker069_0002,0,149,0,0.00022612509
83,83,speaker273_0000,speaker168_0001,0,3,0,0.00020948617
84,84,speaker144_0003,speaker144_0003,1,1,1,0.9995984
85,85,speaker230_0005,speaker207_0002,0,19,0,0.0001867954
86,86,speaker321_0000,speaker321_0000,0,47,0,0.00015695082
87,87,speaker278_0000,speaker278_0000,0,0,0,0.00025714186
88,88,speaker218_0003,speaker218_0003,1,42,1,0.99979496
89,89,speaker155_0005,speaker155_0005,1,156,1,0.9997351
90,90,speaker234_0040,speaker234_0004,0,6,0,0.0024992614
91,91,speaker187_0000,speaker187_0000,1,33,1,0.99687594
92,92,speaker073_0000,speaker049_0024,0,190,0,0.00022602163
93,93,speaker199_0003,speaker199_0003,1,12,1,0.99920225
94,94,speaker256_0002,speaker256_0002,1,15,1,0.99803627
95,95,speaker184_0017,speaker184_0017,1,72,0,0.029187335
96,96,speaker141_0000,speaker141_0000,1,53,0,0.0039994926
97,97,speaker018_0001,speaker018_0001,1,34,1,0.81417596
98,98,speaker147_0001,speaker147_0001,0,26,0,0.00019080182
99,99,speaker110_0000,speaker090_0000,0,10,0,0.00016967907
100,100,speaker106_0003,speaker106_0003,0,24,0,0.00014130386
101,101,speaker164_0001,speaker164_0001,1,2,1,0.99964166
102,102,speaker144_0000,speaker144_0000,1,55,0,0.0025434466
103,103,speaker112_0001,speaker112_0001,1,82,1,0.99974126
104,104,speaker018_0015,speaker018_0015,1,52,1,0.7176001
105,105,speaker141_0003,speaker141_0003,0,25,0,0.00013962989
106,106,speaker295_0002,speaker295_0002,0,35,0,0.000120464654
107,107,speaker134_0002,speaker235_0002,0,23,0,0.00016652874
108,108,speaker066_0013,speaker066_0013,1,52,1,0.87580425
109,109,speaker218_0009,speaker257_0006,0,65,0,0.00048764306
110,110,speaker247_0001,speaker247_0001,1,50,1,0.9977829
111,111,speaker230_0005,speaker230_0005,1,81,1,0.999605
112,112,speaker300_0000,speaker300_0000,0,69,0,0.00012185989
113,113,speaker069_0002,speaker069_0001,0,190,0,0.00012727252
114,114,speaker064_0001,speaker064_0001,1,53,1,0.998245
115,115,speaker135_0000,speaker135_0000,0,27,0,0.00017829143
116,116,speaker319_0003,speaker319_0003,0,19,0,0.0001368565
117,117,speaker068_0013,speaker068_0013,1,2,1,0.99883
118,118,speaker144_0003,speaker144_0003,1,21,1,0.9997425
119,119,speaker298_0007,speaker298_0007,1,27,0,0.29289478
120,120,speaker193_0001,speaker193_0001,1,45,1,0.999629
121,121,speaker205_0001,speaker282_0010,0,12,0,0.0001763381
122,122,speaker247_0000,speaker247_0000,1,7,1,0.74917847
123,123,speaker267_0000,speaker267_0000,0,43,0,0.00012985159
124,124,speaker150_0001,speaker268_0002,0,58,0,0.00012809684
125,125,speaker189_0003,speaker189_0006,0,113,0,0.00032931034
126,126,speaker106_0002,speaker106_0002,1,54,1,0.99913293
127,127,speaker016_0009,speaker016_0009,1,122,1,0.8698092
128,128,speaker164_0003,speaker164_0003,1,28,1,0.999703
129,129,speaker287_0002,speaker287_0002,1,92,1,0.9998556
130,130,speaker247_0001,speaker247_0001,1,22,1,0.99970895
131,131,speaker184_0005,speaker184_0019,0,49,0,0.00012945496
132,132,speaker163_0004,speaker306_0002,0,64,0,0.00024057315
133,133,speaker039_0000,speaker039_0000,1,29,1,0.999555
